OsmId,Name,Amenity,Shop,Cuisine,City,Street,HouseNumber,Postcode,Website,Phone,OpeningHours,Latitude,Longitude,OsmTimestamp,OsmTimestampParsed,DaysSinceUpdate,RecentlyUpdated,NameNorm,NameLength,HasCity,HasStreet,HasHouseNumber,HasPostcode,HasWebsite,HasPhone,HasOpeningHours,HasCuisine,HasCoordinates,Geo_OsmId,Geo_Name,Geo_Amenity,Geo_Shop,Geo_Cuisine,Geo_City,Geo_Street,Geo_HouseNumber,Geo_Postcode,Geo_Website,Geo_Phone,Geo_OpeningHours,Geo_Latitude,Geo_Longitude,Geo_OsmTimestamp,Geo_OsmTimestampParsed,Geo_DaysSinceUpdate,Geo_RecentlyUpdated,Geo_NameNorm,Geo_NameLength,Geo_HasCity,Geo_HasStreet,Geo_HasHouseNumber,Geo_HasPostcode,Geo_HasWebsite,Geo_HasPhone,Geo_HasOpeningHours,Geo_HasCuisine,Geo_HasCoordinates,Geo_CityGeo,Geo_StreetGeo,Geo_HouseNumberGeo,Geo_PostcodeGeo,Geo_ReverseAddressGeo,Score,Status
944649490,Giant Eagle,,supermarket,,Stow,,,44224,,+1 330-686-7829,Mo-Su 07:00-22:00,41.1532501,-81.4085807,2024-02-07T00:01:05Z,2024-02-07 00:01:05+00:00,657,0,giant eagle,11,1,0,0,1,0,1,1,0,1,944649490,Giant Eagle,,supermarket,,Stow,,,44224,,+1 330-686-7829,Mo-Su 07:00-22:00,41.1532501,-81.4085807,2024-02-07T00:01:05Z,2024-02-07 00:01:05+00:00,657,0,giant eagle,11,1,0,0,1,0,1,1,0,1,Stow,Whit Avenue,,44224,"{'shop': 'Giant Eagle', 'road': 'Whit Avenue', 'hamlet': 'Fish Creek', 'town': 'Stow', 'county': 'Summit County', 'state': 'Ohio', 'ISO3166-2-lvl4': 'US-OH', 'postcode': '44224', 'country': 'United States of America', 'country_code': 'us'}",54.0,Review
944649500,Jubilee Donuts,fast_food,,,,,,,,,,41.1457489,-81.4733791,2010-10-10T21:45:38Z,2010-10-10 21:45:38+00:00,5524,0,jubilee donuts,14,0,0,0,0,0,0,0,0,1,944649500,Jubilee Donuts,fast_food,,,,,,,,,,41.1457489,-81.4733791,2010-10-10T21:45:38Z,2010-10-10 21:45:38+00:00,5524,0,jubilee donuts,14,0,0,0,0,0,0,0,0,1,Cuyahoga Falls,Bailey Road,,44221,"{'amenity': 'Jubilee Donuts', 'road': 'Bailey Road', 'neighbourhood': 'North Village', 'city': 'Cuyahoga Falls', 'county': 'Summit County', 'state': 'Ohio', 'ISO3166-2-lvl4': 'US-OH', 'postcode': '44221', 'country': 'United States of America', 'country_code': 'us'}",0.0,LikelyInvalid
1064712914,El Meson,restaurant,,mexican,,,,,,,,41.1397728,-81.4911495,2024-01-20T23:37:27Z,2024-01-20 23:37:27+00:00,674,0,el meson,8,0,0,0,0,0,0,0,1,1,1064712914,El Meson,restaurant,,mexican,,,,,,,,41.1397728,-81.4911495,2024-01-20T23:37:27Z,2024-01-20 23:37:27+00:00,674,0,el meson,8,0,0,0,0,0,0,0,1,1,Cuyahoga Falls,Portage Trail,,44221,"{'amenity': 'El Meson', 'road': 'Portage Trail', 'neighbourhood': 'West Village', 'city': 'Cuyahoga Falls', 'county': 'Summit County', 'state': 'Ohio', 'ISO3166-2-lvl4': 'US-OH', 'postcode': '44221', 'country': 'United States of America', 'country_code': 'us'}",10.0,LikelyInvalid
1064713373,Mandarin House,restaurant,,,,,,,,,,41.1589599,-81.5097613,2017-12-01T14:14:35Z,2017-12-01 14:14:35+00:00,2915,0,mandarin house,14,0,0,0,0,0,0,0,0,1,1064713373,Mandarin House,restaurant,,,,,,,,,,41.1589599,-81.5097613,2017-12-01T14:14:35Z,2017-12-01 14:14:35+00:00,2915,0,mandarin house,14,0,0,0,0,0,0,0,0,1,Cuyahoga Falls,East Bath Road,,44223,"{'amenity': 'Mandarin House', 'road': 'East Bath Road', 'city': 'Cuyahoga Falls', 'county': 'Summit County', 'state': 'Ohio', 'ISO3166-2-lvl4': 'US-OH', 'postcode': '44223', 'country': 'United States of America', 'country_code': 'us'}",0.0,LikelyInvalid
1455179678,Alladin's Eatery,restaurant,,middle_eastern,,,,,,,"Mo-Th 11:00-22:00; Fr,Sa 11:00-22:30; Su 11:00-21:30",41.2406635,-81.4426647,2024-09-06T15:13:13Z,2024-09-06 15:13:13+00:00,444,0,alladin's eatery,16,0,0,0,0,0,0,1,1,1,1455179678,Alladin's Eatery,restaurant,,middle_eastern,,,,,,,"Mo-Th 11:00-22:00; Fr,Sa 11:00-22:30; Su 11:00-21:30",41.2406635,-81.4426647,2024-09-06T15:13:13Z,2024-09-06 15:13:13+00:00,444,0,alladin's eatery,16,0,0,0,0,0,0,1,1,1,Hudson,Park Lane,,44326,"{'amenity': ""Alladin's Eatery"", 'road': 'Park Lane', 'retail': 'First & Main Hudson', 'town': 'Hudson', 'county': 'Summit County', 'state': 'Ohio', 'ISO3166-2-lvl4': 'US-OH', 'postcode': '44326', 'country': 'United States of America', 'country_code': 'us'}",17.0,LikelyInvalid
1455179687,Tomato Grill,restaurant,,italian,,,,,,,Mo-Fr 11:30-21:00; Sa 12:00-21:00,41.2420325,-81.442233,2024-07-31T23:35:10Z,2024-07-31 23:35:10+00:00,481,0,tomato grill,12,0,0,0,0,0,0,1,1,1,1455179687,Tomato Grill,restaurant,,italian,,,,,,,Mo-Fr 11:30-21:00; Sa 12:00-21:00,41.2420325,-81.442233,2024-07-31T23:35:10Z,2024-07-31 23:35:10+00:00,481,0,tomato grill,12,0,0,0,0,0,0,1,1,1,Hudson,First Street,,44326,"{'amenity': 'Tomato Grill', 'road': 'First Street', 'retail': 'First & Main Hudson', 'town': 'Hudson', 'county': 'Summit County', 'state': 'Ohio', 'ISO3166-2-lvl4': 'US-OH', 'postcode': '44326', 'country': 'United States of America', 'country_code': 'us'}",17.0,LikelyInvalid
1455179691,Comida Mexican Restaurant,restaurant,,mexican,,,,,,,,41.2406882,-81.4423608,2024-09-06T15:13:13Z,2024-09-06 15:13:13+00:00,444,0,comida mexican restaurant,25,0,0,0,0,0,0,0,1,1,1455179691,Comida Mexican Restaurant,restaurant,,mexican,,,,,,,,41.2406882,-81.4423608,2024-09-06T15:13:13Z,2024-09-06 15:13:13+00:00,444,0,comida mexican restaurant,25,0,0,0,0,0,0,0,1,1,Hudson,Park Lane,,44326,"{'amenity': 'Comida Mexican Restaurant', 'road': 'Park Lane', 'retail': 'First & Main Hudson', 'town': 'Hudson', 'county': 'Summit County', 'state': 'Ohio', 'ISO3166-2-lvl4': 'US-OH', 'postcode': '44326', 'country': 'United States of America', 'country_code': 'us'}",10.0,LikelyInvalid
2105023766,Chiban,restaurant,,japanese,,,,,,,,41.1343194,-81.5080726,2021-07-18T22:24:54Z,2021-07-18 22:24:54+00:00,1590,0,chiban,6,0,0,0,0,0,0,0,1,1,2105023766,Chiban,restaurant,,japanese,,,,,,,,41.1343194,-81.5080726,2021-07-18T22:24:54Z,2021-07-18 22:24:54+00:00,1590,0,chiban,6,0,0,0,0,0,0,0,1,1,Cuyahoga Falls,Broad Boulevard,,44221,"{'amenity': 'Chiban', 'road': 'Broad Boulevard', 'neighbourhood': 'West Village', 'city': 'Cuyahoga Falls', 'county': 'Summit County', 'state': 'Ohio', 'ISO3166-2-lvl4': 'US-OH', 'postcode': '44221', 'country': 'United States of America', 'country_code': 'us'}",7.0,LikelyInvalid
2105026712,Arthur Treacher's Fish and Chips,fast_food,,fish_and_chips,,,,,,,,41.1319386,-81.508141,2013-01-11T01:43:17Z,2013-01-11 01:43:17+00:00,4701,0,arthur treacher's fish and chips,32,0,0,0,0,0,0,0,1,1,2105026712,Arthur Treacher's Fish and Chips,fast_food,,fish_and_chips,,,,,,,,41.1319386,-81.508141,2013-01-11T01:43:17Z,2013-01-11 01:43:17+00:00,4701,0,arthur treacher's fish and chips,32,0,0,0,0,0,0,0,1,1,Cuyahoga Falls,State Road,,44223,"{'amenity': ""Arthur Treacher's Fish and Chips"", 'road': 'State Road', 'city': 'Cuyahoga Falls', 'county': 'Summit County', 'state': 'Ohio', 'ISO3166-2-lvl4': 'US-OH', 'postcode': '44223', 'country': 'United States of America', 'country_code': 'us'}",3.0,LikelyInvalid
2105027376,Chowder House,restaurant,,seafood,,,,,,,,41.1288405,-81.5077494,2013-01-11T01:45:09Z,2013-01-11 01:45:09+00:00,4701,0,chowder house,13,0,0,0,0,0,0,0,1,1,2105027376,Chowder House,restaurant,,seafood,,,,,,,,41.1288405,-81.5077494,2013-01-11T01:45:09Z,2013-01-11 01:45:09+00:00,4701,0,chowder house,13,0,0,0,0,0,0,0,1,1,Cuyahoga Falls,Chestnut Boulevard,,44223,"{'amenity': 'Chowder House', 'road': 'Chestnut Boulevard', 'city': 'Cuyahoga Falls', 'county': 'Summit County', 'state': 'Ohio', 'ISO3166-2-lvl4': 'US-OH', 'postcode': '44223', 'country': 'United States of America', 'country_code': 'us'}",3.0,LikelyInvalid
2331689880,Wildcat Cafe,restaurant,,american,,,,,,,,41.0513199,-81.39896,2021-09-18T17:30:42Z,2021-09-18 17:30:42+00:00,1528,0,wildcat cafe,12,0,0,0,0,0,0,0,1,1,2331689880,Wildcat Cafe,restaurant,,american,,,,,,,,41.0513199,-81.39896,2021-09-18T17:30:42Z,2021-09-18 17:30:42+00:00,1528,0,wildcat cafe,12,0,0,0,0,0,0,0,1,1,Mogadore,Mogadore Road,,44260,"{'amenity': 'Wildcat Cafe', 'road': 'Mogadore Road', 'village': 'Mogadore', 'county': 'Summit County', 'state': 'Ohio', 'ISO3166-2-lvl4': 'US-OH', 'postcode': '44260', 'country': 'United States of America', 'country_code': 'us'}",7.0,LikelyInvalid
2388727898,Spicy Thai Cuisine,restaurant,,thai,,,,,,,,41.3073175,-81.4419981,2013-07-18T18:00:24Z,2013-07-18 18:00:24+00:00,4512,0,spicy thai cuisine,18,0,0,0,0,0,0,0,1,1,2388727898,Spicy Thai Cuisine,restaurant,,thai,,,,,,,,41.3073175,-81.4419981,2013-07-18T18:00:24Z,2013-07-18 18:00:24+00:00,4512,0,spicy thai cuisine,18,0,0,0,0,0,0,0,1,1,Twinsburg,I 480;SR 14,,44087,"{'amenity': 'Spicy Thai Cuisine', 'road': 'I 480;SR 14', 'town': 'Twinsburg', 'county': 'Summit County', 'state': 'Ohio', 'ISO3166-2-lvl4': 'US-OH', 'postcode': '44087', 'country': 'United States of America', 'country_code': 'us'}",3.0,LikelyInvalid
2388730335,Brewsters,restaurant,,american,,,,,,,,41.30739,-81.437433,2013-07-18T18:01:00Z,2013-07-18 18:01:00+00:00,4512,0,brewsters,9,0,0,0,0,0,0,0,1,1,2388730335,Brewsters,restaurant,,american,,,,,,,,41.30739,-81.437433,2013-07-18T18:01:00Z,2013-07-18 18:01:00+00:00,4512,0,brewsters,9,0,0,0,0,0,0,0,1,1,Twinsburg,Creekside Drive,,44087,"{'amenity': 'Brewsters', 'road': 'Creekside Drive', 'retail': 'Twinsburg Town Center', 'town': 'Twinsburg', 'county': 'Summit County', 'state': 'Ohio', 'ISO3166-2-lvl4': 'US-OH', 'postcode': '44087', 'country': 'United States of America', 'country_code': 'us'}",3.0,LikelyInvalid
2419993489,The Porch,restaurant,,,Kent,,,,https://www.kent.edu/dining/student-center-lower-level,,,41.1476665,-81.3429495,2022-05-26T21:37:21Z,2022-05-26 21:37:21+00:00,1278,0,the porch,9,1,0,0,0,1,0,0,0,1,2419993489,The Porch,restaurant,,,Kent,,,,https://www.kent.edu/dining/student-center-lower-level,,,41.1476665,-81.3429495,2022-05-26T21:37:21Z,2022-05-26 21:37:21+00:00,1278,0,the porch,9,1,0,0,0,1,0,0,0,1,Kent,Midway Drive,,44243,"{'amenity': 'The Porch', 'road': 'Midway Drive', 'neighbourhood': 'Science Corridor', 'city': 'Kent', 'county': 'Portage County', 'state': 'Ohio', 'ISO3166-2-lvl4': 'US-OH', 'postcode': '44243', 'country': 'United States of America', 'country_code': 'us'}",38.0,Review
